Mês;Unidade;Subprefeitura;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
janeiro;SEL/COMIN-G         ;SANTO AMARO                   ;2016.00.392-00;2013-0.047.749-7;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;;088.051.0074-9;NR2-03;"ZCP-A/002; EETU";Z2.;ALTO DA BOA VISTA;;APE ADMINISTRACAO E PARTICIPACOES LTDA;983,02;AV  ADOLFO PINHEIRO 002518 ;08/01/2016;KARIN MICHELLE DORO PAZZINI;;;;
janeiro;SEL/COMIN-1         ;ITAQUERA                      ;2016.00.794-00;2013-0.178.536-5;ALVARA DE APROVACAO DE EDIFICACAO NOVA;;145.024.0002-4;"NR1-01; NR2-03";ZM-2;Z2.;MERICANO LT1 QD46;605,64;FERNANDES MEIRA CONSULTORIA E ASSESSORIA DE NEGCIOS LTDA;63.908,00;AV  MARIA LUISA AMERICANO 02801 ESQ AV MARIA L A;18/01/2016;CAIO TAVARES;;CAIO TAVARES;;B: 1 P: 1 U: 0
janeiro;SEL/COMIN-1         ;MOOCA                         ;2016.01.745-00;2015-0.054.733-2;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;054.184.0060-6;NR2-02;ZM-3A;Z2.;TATUAPE;141,28;BELA VISTA ADMINISTRACAO DE BENS PROPRIOS LTDA;2.300,00;R   AZEVEDO SOARES 01030 ;29/01/2016;JOSE VALMIRO PAVAN;;LUCIANO MARTINELLI IMPERATORI;;
janeiro;SEL/COMIN-3         ;ARICANDUVA/ FORMOSA/ CARRAO     ;2004.36.009-02;2013-0.340.280-3;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;054.260.0502-8;NR2-02;ZM-3A;Z2.;TATUAPE;35.886,95;INTERPRIME EMPREENDIMENTOS E PARTICIPACOES LTDA.;15.880,70;AV  REGENTE FEIJO 001425 LTS. 2, 3 E 4;08/01/2016;KRUCHIN ARQUITETURA, CONSULTORIA E PROJETOS LTDA;SAMUEL KRUCHIN;KRUCHIN ARQUITETURA, CONSULTORIA E PROJETOS LTDA;SAMUEL KRUCHIN;B: 1 P: 2 U: 0
janeiro;SEL/COMIN-3         ;IPIRANGA                      ;2016.00.674-00;2010-0.194.055-1;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;119.098.0017-0;NR2-02;ZPI/005;  ;VILA LIVIEIRO;;TRIPLA EMPREENDIMENTOS IMOBILIARIOS LTDA;22.734,06;R   EUGENIO BELLOTO 000200 ;14/01/2016;ELIANE RATAJCZYK;;ELIANE RATAJCZYK;;B: 1 P: 2 U: 0
janeiro;SEL/COMIN-3         ;MOOCA                         ;2016.01.800-00;2009-0.336.303-4;ALVARA DE APROVACAO DE REFORMA;;025.008.0097-0;NR3-04;ZCP-B/004;Z4-020.;BRAS;16.437,14;BRASHOPPING PARTICIPACOES LTDA;4.374,27;R   BARAO DE LADARIO 00226 ;29/01/2016;CLEBER MARTINS COFFONE;;OSMAR ALVES;;B: 0 P: 3 U: 0
janeiro;SEL-G               ;ARICANDUVA/ FORMOSA/ CARRAO     ;2016.00.790-00;2009-0.179.536-0;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;055.017.0004-2;R2H;ZCP-A/004;Z2.;VILA NOVA MANCHESTER;227,52;OSCAR YUKICHIGUE MAZIKINA;289,60;R   NUNES BALBOA 00629 ;18/01/2016;LUIS ANTONIO FERNANDES;;LUIS ANTONIO FERNANDES;;B: 1 P: 2 U: 3
janeiro;SEL-G               ;ARICANDUVA/ FORMOSA/ CARRAO     ;2016.01.801-00;2003-1.047.175-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;055.041.0044-5;"E2.1; E2.5";;Z3-122.;TATUAPE;;MITRA ARQUIDIOCESANA DE SAO PAULO;3.000,00;AV  GUILHERME GIORGI 00200 ;29/01/2016;;;;;
janeiro;SEL-G               ;CIDADE TIRADENTES             ;2016.01.600-00;2015-0.307.732-9;AUTO DE REGULARIZACAO;;245.043.0001-8;EHIS;"ZEIS-1/L144; ZEIS-1/L144";Z8-100/1-001.;CH. STA ETELVINA VII;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;1.206,50;R   EDUARDO SANCHEZ 099999 LT 06 QD 29G;28/01/2016;AGUINALDO LOPES QUINTANA NETO;;CATIA HELENA SOARES FIGUEIREDO;;
janeiro;SEL-G               ;CIDADE TIRADENTES             ;2016.01.601-00;2015-0.307.726-4;AUTO DE REGULARIZACAO;;246.049.0001-7;EHIS;"ZEIS-1/L144; ZEIS-1/L144";Z8-100/1-001.;STA ETELVINA II A;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;1.513,12;R   NASCER DO SOL 99999 LT 08 QD 39H;28/01/2016;"AGUINALDO LOPES QUINTANA NETO; MICHELE MONTONE";;MICHELE MONTONE;;
janeiro;SEL-G               ;ERMELINO MATARAZZO            ;2016.00.791-00;2003-1.001.809-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;130.327.0248-7;S2.3;;Z8-CR4 LIND. Z2.;ERMELINO MATARAZZO;;JOSE ROBERTO FERRARI;619,00;R   DOUTOR ASSIS RIBEIRO 07836 ;18/01/2016;MARIA DE LOURDES DOMINGOS;;;;
