Mês ;Unidade;Prefeitura regional;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
Janeiro;SEL/COMIN-1         ;SANTO AMARO                   ;2016.13.839-01;2016-0.280.083-5;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;28/12/2016;086.009.0161-8;NR1-04;;Z4-062.;CAMPO BELO;;JLD EMPR.E PARTIC.LTDA;1.050,00;R   BARAO DO TRIUNFO 515 525;11/01/2017;;;;;B: 1 P: 3 U: 0
Janeiro;SEL/COMIN-1         ;VILA MARIANA                  ;2010.01.041-01;2017-0.005.093-8;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;10/01/2017;036.136.0526-0;NR2-02; ZM-1/002;Z2.;V. MARIANA;2.069,49;CLAUDIO BAIDA;1.096,57;R   SENA MADUREIRA 1484 ESQ.PC.KEN.NAKAGAWA;19/01/2017;ISMAEL DE CARVALHO;;;;B: 1 P: 2 U: 0
Janeiro;SEL/COMIN-2         ;BUTANTA                       ;2017.00.892-00;2016-0.178.042-3;AUTO DE REGULARIZACAO;04/08/2016;101.377.0004-1;NR2-03;;ZONA DE CENTRALIDADE LINEAR 1 EM ZER.;VL INAH;;SUELI APARECIDA FERNANDES;3.696,65;R   JERIQUARA 000109 LTS 1 2 3 QD 27;11/01/2017;WEDER BERTI;;WEDER BERTI;;
Janeiro;SEL/COMIN-2         ;CAMPO LIMPO                   ;2017.02.072-00;2014-0.105.399-4;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;11/04/2014;169.067.0042-0;NR2; ZCP-B/001;Z3-197.;CAMPO LIMPO;180,45;IMAVEN IMOVEIS LTDA;1.357,67;ES  DO CAMPO LIMPO 05746 ;31/01/2017;CLAUDIO DESONTINI;;CLAUDIO DESONTINI;;B: 1 P: 2 U: 0
Janeiro;SEL/COMIN-2         ;ITAIM PAULISTA                ;2017.01.328-00;2014-0.129.484-3;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;08/05/2014;192.048.0048-7;NR2-03;;Z2.;ITAIM PAULISTA;;DOMINGOS ALVES DE CARVALHO JUNIOR;1.001,64;R   TIBURCIO DE SOUSA 01285 ;18/01/2017;EDUARDO POSTIGO DOS SANTOS;;EDUARDO POSTIGO DOS SANTOS;;B: 1 P: 1 U: 0
Janeiro;SEL/COMIN-2         ;MOOCA                         ;2017.00.886-00;2015-0.188.283-6;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;21/07/2015;028.012.0013-1;NR2-03;;Z3-135.;MOOCA;;SHOWLIN EMPREENDIMENTOS E ADMINISTRADORA DE BENS PRÓPRIOS LT;861,14;R   DO ORATORIO 000625 ;11/01/2017;FLAVIO LUIZ ANTONIO;;;;
Janeiro;SEL/COMIN-2         ;SAO MATEUS                    ;2017.00.879-00;2015-0.124.199-7;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;13/05/2015;194.024.0012-4;"NR2-03; NR1-02";;Z2.;PARQUE BOA ESPERANCA;1.597,85;EMANUEL PARTICIPACOES LTDA;3.015,00;AV  RAGUEB CHOHFI 03693 ;11/01/2017;EDUARDO POSTIGO DOS SANTOS;;EDUARDO POSTIGO DOS SANTOS;;B: 1 P: 2 U: 0
Janeiro;SEL/COMIN-2         ;VILA MARIANA                  ;2017.00.322-00;2015-0.174.835-8;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;03/07/2015;038.053.0058-1;"NR2-03; NR1-04";;Z2.;VILA MARIANA;;ABN & FILHOS INVESTIMENTOS E PARTICIPAÇÕES LTDA;407,08;R   PAULA NEY 352 ;04/01/2017;GUARACI CESAR PEREIRA POLENGHI;;GUARACI CESAR PEREIRA POLENGHI;;B: 0 P: 1 U: 0
Janeiro;SEL/COMIN-2         ;VILA PRUDENTE                 ;2017.01.031-00;2013-0.311.928-1;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;18/10/2013;044.193.0026-4;NR2-22;;Z6-031.;VL PRUDENTE;;MARIA HELENA PADILLA;12.618,00;AV  HENRY FORD 02001 087203;13/01/2017;MARA APARECIDA FERNELLA;;MARA APARECIDA FERNELLA;;B: 1 P: 2 U: 0
Janeiro;SEL/COMIN-3         ;BUTANTA                       ;2017.01.703-00;2015-0.338.356-0;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;18/12/2015;186.002.1132-7;NR3-04;;ZONA MISTA DE PROTECAO AMBIENTAL.;PASSAGEM GRANDE;482,49;MWV COMERCIO E ADMINISTRACAO DE BENS PROPRIOS;8.932,09;VIA RAPOSO TAVARES 8550 ;24/01/2017;CLAUDIO DESONTINI;;CLAUDIO DESONTINI;;
Janeiro;SEL/COMIN-3         ;ITAIM PAULISTA                ;2016.17.449-01;2016-0.267.696-4;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;05/12/2016;133.239.0012-9;"NR3-04; NR2-12"; EETU;Z2.;ITAIMPAULISTA;632,62;COTRAST ADMINISTRACAO E PARTICIPACOES LTDA - EPP;36.037,00;AV  MARECHAL TITO 06829 ;19/01/2017;;;;;B: 10 P: 2 U: 0
Janeiro;SEL/COMIN-3         ;SANTANA/ TUCURUVI              ;2017.01.731-00;2012-0.120.897-8;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;26/04/2012;069.001.0049-1;NR3;;Z4-002.;TUCURUVI;117.036,82;THOPGAN EMPR IMOB E PARTICIPACOES LTDA;29.355,80;AV  TUCURUVI 248 ;26/01/2017;OSWALDO JOAO DA SILVA;;JAYME LAGO MESTIERI;;B: 1 P: 17 U: 0
Janeiro;SEL/COMIN-3         ;SE                            ;2016.26.310-01;2014-0.209.250-0;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;30/07/2014;028.069.0036-0;NR3-04;;Z6-029.;ESQ. SERRA PARACAINA;22.290,91;CABO FRIO INCORPORADORA LTDA;30.960,00;AV  DO ESTADO 99999 ;10/01/2017;;;;;B: 1 P: 2 U: 0
Janeiro;SEL/COMIN-3         ;SE                            ;2016.26.311-01;2014-0.209.250-0;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;30/07/2014;028.069.0036-0;NR3-04;;Z6-029.;ESQ. SERRA PARACAINA;;CABO FRIO INCORPORADORA LTDA;;AV  DO ESTADO 99999 ;10/01/2017;;;;;
Janeiro;SEL-G               ;BUTANTA                       ;2017.00.881-00;2013-0.366.589-8;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;12/12/2013;101.403.0007-3;"NR1-02; NR1-04";;Z18-027.;VILA PROGREDIOR;1.762,37;SIDNEY ALVES MOREIRA;800,00;R   JOSE JANNARELLI 00582 ;11/01/2017;PERICLES DE ALMEIDA DIOGO;;PERICLES DE ALMEIDA DIOGO;;B: 1 P: 3 U: 0
Janeiro;SEL-G               ;CAMPO LIMPO                   ;2017.01.850-00;2016-0.117.526-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;20/05/2016;168.259.0069-1;HIS 1; ZEIS-1/W077;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;PQ IPE;10.268,15;PREFEITURA DO MUNICIPIO DE SÃO PAULO - PMSP;2.211,05;R   PROFESSOR OSCAR CAMPIGLIA 00381 ;27/01/2017;NEIDE DE SOUZA FERREIRA;;NEIDE DE SOUZA FERREIRA;;B: 1 P: 16 U: 117
Janeiro;SEL-G               ;CAPELA DO SOCORRO             ;2017.00.331-00;2016-0.272.989-8;CERTIFICADO DE CONCLUSAO;16/12/2016;174.312.0016-0;HIS; ZEIS-4;ZONA NAO DEFINIDA.;GRAJAU;;CAIXA ECONOMICA FEDERAL;14.679,01;AV  CARLOS BARBOSA SANTOS 1500 LOTE 7;04/01/2017;ANDRE NOGUEIRA MARTINS DEL NERO;;ANDRE NOGUEIRA MARTINS DEL NERO;;
Janeiro;SEL-G               ;CAPELA DO SOCORRO             ;2017.01.659-00;2016-0.183.491-4;AUTO DE REGULARIZACAO;11/08/2016;162.216.0116-8;EHIS; ZEIS-1/W133;ZONA NAO DEFINIDA.;CIDADE DUTRA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;1.916,27;R   ALEXANDRE COLACO 00 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;CAPELA DO SOCORRO             ;2017.01.669-00;2016-0.183.488-4;AUTO DE REGULARIZACAO;11/08/2016;162.216.0116-8;EHIS; ZEIS-1/W133;ZONA NAO DEFINIDA.;CIDADE DUTRA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;2.981,91;R   ALEXANDRE COLACO 00 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;CAPELA DO SOCORRO             ;2017.01.713-00;2016-0.183.497-3;AUTO DE REGULARIZACAO;11/08/2016;162.216.0116-8;EHIS; ZEIS-1/W133;Z11-023.;CIDADE DUTRA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;2.455,59;R   ALEXANDRE COLACO 00 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;CAPELA DO SOCORRO             ;2017.01.714-00;2016-0.183.470-1;AUTO DE REGULARIZACAO;11/08/2016;162.216.0116-8;EHIS; ZEIS-1/W133;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;CIDADE DUTRA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;1.205,05;R   ALEXANDRE COLACO 00 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;CAPELA DO SOCORRO             ;2017.01.725-00;2016-0.183.484-1;AUTO DE REGULARIZACAO;11/08/2016;162.216.0116-8;EHIS; ZEIS-1/W133;Z11-023.;CIDADE DUTRA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;858,13;R   ALEXANDRE COLACO 00 ;24/01/2017;;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;CASA VERDE/ CACHOEIRINHA       ;2017.00.355-00;2003-1.044.747-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;14/11/2003;127.203.0036-4;R;;Z9-053.;;;SILVERIO NUNES DE ARAUJO;400,00;R   RIO DOS CEDROS 20 PT LT 1 QD 31;04/01/2017;;;;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.637-00;2016-0.133.825-9;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.994,97;TV  RENASCER 99999 ;23/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.657-00;2016-0.133.852-6;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;981,94;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
