Mês ;Unidade;Subprefeitura;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades";;;
Janeiro;SGM/AJ              ;PENHA                         ;2018.01.369-00;2004-1.010.334-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;15/12/2004;059.268.0042-0;R;;  ;PENHA;;ESPOLIO DE ABILIO BERNARDO CARDOSO VALENTE E OUTROS;318,13;R   SAIVA 00305 ;30/01/2018;;;;;;;;
Janeiro;SGM/AJ              ;PINHEIROS                     ;2018.00.491-00;2003-1.037.949-7;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;22/10/2003;299.133.0004-3;"R; E1; S1; C1";;Z9-022.;VILA OLIMPIA;;MARIA CECILIA KALIL BEYRUTI;400,00;R   CHILON 00060 ;12/01/2018;AIDA MARTINS CASIMIRO VARUZZI;;;;;;;
Janeiro;SMUL                ;CAMPO LIMPO                   ;2018.00.889-00;2014-0.176.365-7;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;27/06/2014;169.269.0009-3;EHMP; ZEUP;ZONA DE CENTRALIDADE POLAR - A.;VILA AMERICA;12.123,70;PROJETO IMOBILIARIO E 22 LTDA;3.678,24;ES  VELHA DE ITAPECERICA 00019 ;19/01/2018;HERCY MARTINS COSTA;;MARCELO AUGUSTO FERNANDES BARTOLO;;"B: 1 P: 16 U: 187; B: 1 P: 2 U: 0";;;
Janeiro;SMUL                ;SANTANA/ TUCURUVI              ;2018.00.553-00;2002-0.249.324-1;RECONSIDERACAO DE DESPACHO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;22/10/2002;067.225.0104-3;R202; ZCP-B/008 / EETU;Z3-013.;TUCURUVI;;SOLIDEZ EMPREENDIMENTOS IMOBILIARIOS LTDA;;AV  GUAPIRA 291 ;12/01/2018;ALEXANDRE MENDONCA MILLEU;;ALEXANDRE MENDONCA MILLEU;;;;;
Janeiro;SMUL/ASSEC-CEUSO    ;CIDADE ADEMAR                 ;2018.01.426-00;2013-0.031.633-7;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO;01/02/2013;120.158.0055-6;NR3; ZCP-A/005;Z2.;VL MARARI;;CONDOMÍNIO EDIFÍCIO CANAÃ;1.110,00;R   HORACIO ALVES DA COSTA 00051 ;31/01/2018;ARLINDO GOMES NETO;;;;;;;
Janeiro;SMUL/ASSEC-CEUSO    ;MOOCA                         ;2018.00.588-00;1994-0.057.929-2;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO;31/10/1994;002.082.0031-2;C2.1;;Z3-242.;BRAZ;;ELIAQUIM LIMA SA;230,67;AV  RANGEL PESTANA 1321 1321A;15/01/2018;;;;;;;;
Janeiro;SMUL/ASSEC-CEUSO    ;PENHA                         ;2018.01.368-00;2012-0.238.622-5;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;20/08/2012;058.021.0054-0;NR1-02;;  ;VILA ESPERANÇA;72,86;NATANAEL BATISTA DE ARAUJO;183,63;AV  PADRES OLIVETANOS 00692 ;30/01/2018;CARLOS ALBERTO GANDRA ZARA;;CARLOS ALBERTO GANDRA ZARA;;;;;
Janeiro;SMUL/ASSEC-CEUSO    ;SE                            ;2018.01.358-00;2008-0.155.328-4;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO;26/05/2008;033.033.0024-0;NR2-08;;  ;ACLIMACAO;;IGREJA CRISTA PAULISTANA;742,00;R   PIRES DA MOTA 00110 ;30/01/2018;GIOVANA MORELI AVANCINI;;;;;;;
Janeiro;SMUL/COMIN/DCIMP    ;ARICANDUVA/ FORMOSA/ CARRAO     ;2018.01.292-00;2016-0.212.311-6;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;19/09/2016;056.156.0025-1;NR2-02; ZC;ZONA MISTA DE ALTA DENSIDADE - B.;VILA CARRÃO;192,90;BDM PARTICIPACOES E EMPREENDIMENTOS;2.129,36;AV  CONSELHEIRO CARRAO 000700 ;29/01/2018;CARLOS ROBERTO CHICON JUNIOR;;CARLOS ROBERTO CHICON JUNIOR;;B: 1 P: 0 U: 0;;;
Janeiro;SMUL/COMIN/DCIMP    ;FREGUESIA/ BRASILANDIA         ;2017.16.931-01;2016-0.039.873-8;APOSTILAMENTO DE AUTO DE REGULARIZACAO;18/02/2016;307.042.0035-7;NR2-02; EETU;ZONA MISTA DE MEDIA DENSIDADE.;JD.MONTE ALEGRE;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;3.044,93;AV  TOMAS RABELO E SILVA 74 ;12/01/2018;;;;;;;;
Janeiro;SMUL/COMIN/DCIMP    ;IPIRANGA                      ;2017.24.272-01;2016-0.057.297-5;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;09/03/2016;119.349.0045-0;NR3; ZPI-1;ZONA PREDOMINANTEMENTE INDUSTRIAL.;SAUDE;15.261,46;SUZANO PAPEL E CELULOSE S.A;44.233,65;AV    MARGINAL DIREITA ANCHIETA 000400 KM 11,5;12/01/2018;EDISON BORGES LOPES;;;;B: 4 P: 0 U: 0;;;
Janeiro;SMUL/COMIN/DCIMP    ;IPIRANGA                      ;2018.00.073-00;2017-0.130.169-1;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;16/08/2017;043.203.0015-7;"NR2; NR1"; ZEU;EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ;IPIRANGA;;SERGIO LOTAIF JUNIOR;1.142,92;R   BOM PASTOR 002810 ;03/01/2018;PAULA ZANELATO;;PAULA ZANELATO;;B: 1 P: 2 U: 0;;;
Janeiro;SMUL/COMIN/DCIMP    ;IPIRANGA                      ;2018.00.930-00;2017-0.066.334-4;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;19/04/2017;044.005.0006-3;NR2; ZPI/001;ZONA PREDOMINANTEMENTE INDUSTRIAL.;IPIRANGA;2.603,35;ARI JOSÉ NEDEFF;5.054,67;AV  DO ESTADO 09039 ;19/01/2018;ABNER BORGES FRANCA;;;;B: 1 P: 2 U: 0;;;
Janeiro;SMUL/COMIN-G        ;LAPA                          ;2018.00.428-00;2015-0.083.212-6;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO;31/03/2015;098.018.0067-4;"NR2-03; NR2-02"; ZM-3A/003;Z6-015.;VILA BELA ALIANCA;;FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA       ;63.150,65;R   SAMUEL KLABIN 00193 ;11/01/2018;SERGIO ANTONIO MARRA;;;;;;;
Janeiro;SMUL/COMIN-G        ;PINHEIROS                     ;2018.00.256-00;2013-0.084.308-6;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;25/03/2013;299.057.0055-0;NR3-04; ZM-2/014;Z2.;VILA OLIMPIA;;MATTEO SCOLLETTA;875,80;R   QUATA 001022 1016;08/01/2018;FABIANA DI CUNTO SOLANO;;FABIANA DI CUNTO SOLANO;;;;;
Janeiro;SMUL/COMIN-G        ;PINHEIROS                     ;2018.01.197-00;2016-0.134.143-8;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;13/06/2016;299.084.0010-8;"NR1-02; NR2"; ZC;ZONA DE CENTRALIDADE LINEAR - A.;VILA OLIMPIA;721,96;RAIZEN COMBUSTIVEIS SA;1.323,04;AV  SANTO AMARO 01510 ;24/01/2018;HORST REINHOLD JAHNKE;;CLEBER ALEXANDRO ARAUJO DA SILVA;;;;;
Janeiro;SMUL/COMIN-G        ;;2018.01.105-00;2015-0.339.581-9;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;21/12/2015;6383580159204;IND-2; ZONA NÃO DEFINIDA;ZONA NAO DEFINIDA.;PERUS;575,18;SANTO ANTONIO ADMINIST.EMPREEND. PART. LTDA;55.644,71;AV  RAIMUNDO P.DE MAGALHAES 16470 ;23/01/2018;"CONSTRUCOES ENGENHARIA E PAVIMENTACAO ENPAVI LTDA; CONSTRUCOES ENGENHARIA E PAVIMENTACAO ENPAVI LTDA";"WAGNER COUTO AFONSO; WAGNER COUTO AFONSO";CONSTRUCOES ENGENHARIA E PAVIMENTACAO ENPAVI LTDA;WAGNER COUTO AFONSO;;;;
